院校名称,专业代码,专业名称,招生批次,最高分,平均分,最低分,最低位次,录取数
北京大学,01,文科试验班类,文科本一批,654,654,653,7,2
北京大学,02,中国语言文学类,文科本一批,663,655,648,19,4
北京大学,03,考古学,文科本一批,-,-,-,-,-
北京大学,04,历史学类,文科本一批,652,648,644,27,2
北京大学,05,哲学类,文科本一批,-,-,-,-,-
北京大学,06,社会学类,文科本一批,646,644,642,31,2
北京大学,07,国际政治,文科本一批,647,646,645,25,4
北京大学,08,法学,文科本一批,650,648,646,23,4
北京大学,09,信息管理与信息系统,文科本一批,-,-,-,-,-
北京大学,10,新闻传播学类,文科本一批,644,644,644,27,1
北京大学,11,经济学类,文科本一批,649,649,649,17,1
北京大学,12,工商管理类,文科本一批,-,-,-,-,-
北京大学,13,公共管理类,文科本一批,642,642,642,31,1
北京大学,14,人文科学试验班,文科本一批,642,642,642,31,1
北京大学,15,英语,文科本一批,643,643,642,31,2
北京大学,26,数学类,理科本一批,718,703,697,25,4
北京大学,27,工科试验班类,理科本一批,-,-,-,-,-
北京大学,28,物理学类,理科本一批,693,692,690,52,2
北京大学,30,天文学,理科本一批,-,-,-,-,-
北京大学,31,电子信息类,理科本一批,690,690,690,52,1
北京大学,32,计算机类,理科本一批,692,691,691,48,6
北京大学,33,化学类,理科本一批,-,-,-,-,-
北京大学,34,生物科学类,理科本一批,-,-,-,-,-
北京大学,35,地质学类,理科本一批,-,-,-,-,-
北京大学,36,地球物理学类,理科本一批,-,-,-,-,-
北京大学,37,环境科学,理科本一批,-,-,-,-,-
北京大学,38,城乡规划,理科本一批,691,691,691,48,1
北京大学,39,环境科学与工程类,理科本一批,-,-,-,-,-
北京大学,40,心理学类,理科本一批,-,-,-,-,-
北京大学,41,信息管理与信息系统,理科本一批,-,-,-,-,-
北京大学,42,理科试验班类,理科本一批,699,695,692,43,4
北京大学,46,国际政治,理科本一批,-,-,-,-,-
北京大学,47,经济学类,理科本一批,691,691,691,48,1
北京大学,48,工商管理类,理科本一批,703,701,698,20,2
北京大学,50,法学,理科本一批,-,-,-,-,-
北京大学医学部,01,临床医学,理科本一批,686,684,683,156,5
北京大学医学部,02,临床医学,理科本一批,682,681,680,265,5
北京大学医学部,05,基础医学,理科本一批,682,680,678,342,4
北京大学医学部,06,预防医学,理科本一批,677,677,677,386,3
北京大学医学部,07,药学,理科本一批,681,679,678,342,3
清华大学,0J,文科试验班类(经济、金融与管理),文科本一批,660,654,649,17,3
清华大学,0K,文科试验班类(新雅书院),文科本一批,651,651,651,12,1
清华大学,01,建筑类,理科本一批,693,690,688,73,6
清华大学,02,土木类,理科本一批,-,-,-,-,-
清华大学,03,工科试验班类(环境、化工与新材料),理科本一批,697,697,697,25,1
清华大学,04,工科试验班类(机械、航空与动力),理科本一批,695,690,688,73,3
清华大学,05,工科试验班类(能源),理科本一批,694,694,694,34,2
清华大学,06,电子信息类,理科本一批,701,690,687,84,14
清华大学,07,计算机类,理科本一批,700,697,693,39,7
清华大学,08,工科试验班类(自动化与工业工程),理科本一批,692,689,688,73,8
清华大学,09,理科试验班类(数理),理科本一批,705,696,689,61,3
清华大学,0A,理科试验班类(化生),理科本一批,687,687,687,84,1
清华大学,0B,理科试验班类(经济、金融与管理),理科本一批,694,694,694,34,2
清华大学,0D,法学,理科本一批,-,-,-,-,-
清华大学,0E,临床医学类(协和),理科本一批,695,692,689,61,3
清华大学,0L,理科试验班类(新雅书院),理科本一批,699,699,699,15,1
清华大学,13,临床医学类(医学实验班),理科本一批,688,688,688,73,1
清华大学,15,理科试验班类(人文与社会),理科本一批,-,-,-,-,-
浙江大学,01,人文科学试验班(包含专业:汉语言文学、古典文献学、编辑出版学、历史学、哲学、文物与博物馆学),文科本一批,637,634,630,162,2
浙江大学,02,人文科学试验班(传媒),文科本一批,631,630,630,162,5
浙江大学,03,社会科学试验班,文科本一批,632,632,631,142,10
浙江大学,04,人文科学试验班(外国语言文学),文科本一批,631,631,631,142,1
浙江大学,06,工科试验班(信息),理科本一批,684,680,678,342,22
浙江大学,07,工科试验班(机械与材料),理科本一批,-,-,-,-,-
浙江大学,08,工科试验班(建筑与土木),理科本一批,676,676,676,439,1
浙江大学,09,工科试验班(电气与自动化),理科本一批,677,677,676,439,5
浙江大学,11,科技与创意设计试验班,理科本一批,686,679,676,439,5
浙江大学,12,工科试验班(能源化工高分子),理科本一批,682,679,676,439,2
浙江大学,13,医学试验班,理科本一批,677,677,676,439,2
浙江大学,14,理科试验班类,理科本一批,681,678,677,386,7
浙江大学,16,工科试验班(竺可桢学院交叉创新平台),理科本一批,684,683,681,228,7
浙江大学,21,工科试验班(浙大伊利诺伊大学联合学院),理科本一批,-,-,-,-,-
浙江大学,23,社会科学试验班,理科本一批,679,677,676,439,6
浙江大学医学院,05,医学试验班类,理科本一批,676,674,673,594,5
复旦大学,06,法学,文科本一批,639,639,639,58,2
复旦大学,07,新闻传播学类,文科本一批,641,639,637,69,5
复旦大学,15,经济管理试验班,文科本一批,640,640,640,48,1
复旦大学,16,经济学类,文科本一批,646,642,640,48,6
复旦大学,21,社会科学试验班,文科本一批,639,638,637,69,2
复旦大学,25,中国语言文学类,文科本一批,637,637,637,69,1
复旦大学,00,数学类,理科本一批,690,686,684,130,5
复旦大学,15,经济管理试验班,理科本一批,684,684,684,130,1
复旦大学,16,经济学类,理科本一批,686,685,684,130,3
复旦大学医学院,03,临床医学,理科本一批,-,-,-,-,-
复旦大学医学院,04,临床医学,理科本一批,685,683,681,228,3
中国人民大学,01,经济学类,文科本一批,636,636,635,84,4
中国人民大学,02,金融学类,文科本一批,641,636,634,94,5
中国人民大学,03,财政学类,文科本一批,634,634,633,105,2
中国人民大学,06,法学,文科本一批,641,640,639,58,3
中国人民大学,07,社会学类,文科本一批,638,637,635,84,2
中国人民大学,08,国际政治,文科本一批,635,634,633,105,4
