院校名称,招生代码,招生专业,招生批次,招生人数,学费,年制
北京大学,47,考古学,文科本一批,1,5000,4
北京大学,48,中国语言文学类(含汉语言文学、汉语言、古典文献学、应用语言学),文科本一批,2,5000,4
北京大学,49,文科试验班类(包含专业详见学校招生章程或咨询学校),文科本一批,1,5300,4
北京大学,50,历史学类(含历史学(中国史)、世界史、外国语言与外国历史),文科本一批,1,5000,4
北京大学,51,国际政治(国政、外交学、国际政经),文科本一批,1,5000,4
北京大学,52,社会学类(含社会学、社会工作、人类学),文科本一批,1,5000,4
北京大学,53,哲学类(含哲学、宗教学、逻辑学(科技哲学)),文科本一批,1,5000,4
北京大学,54,法学,文科本一批,1,5000,4
北京大学,55,信息管理与信息系统,文科本一批,1,5000,4
北京大学,56,新闻传播学类(含新闻学、广播电视学、广告学、编辑出版学),文科本一批,1,5000,4
北京大学,57,经济学类(含经济学、金融学、国际经济与贸易、保险学、财政学、资源与环境经济学),文科本一批,1,5000,4
北京大学,58,工商管理类(含金融学、经济学(金融)、会计学、市场营销),文科本一批,1,5000,4
北京大学,59,公共管理类(含政治学与行政学、城市管理、行政管理),文科本一批,1,5000,4
北京大学,60,人文科学试验班(含艺术史论、戏剧与影视学类、艺术学理论类(文化产业)),文科本一批,1,5000,4
北京大学,61,英语,文科本一批,1,5000,4
北京大学,85,数学类(含数学与应用数学(数学)、数学与应用数学(概率统计)、数学与应用数学(科学与工程计算)、数学与应用数学(信息科学)、数学与应用数学(金融)、数据科学与大数据技术),理科本一批,1,5000,4
北京大学,86,天文学(天体物理、天文高新技术和应用),理科本一批,1,5000,4
北京大学,87,工科试验班类(含理论与应用力学、工程力学(工程结构分析)、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程、机器人工程),理科本一批,1,5000,4
北京大学,88,电子信息类(含电子信息科学与技术、微电子科学与工程、电子信息工程、集成电路设计与集成系统),理科本一批,1,5300,4
北京大学,89,物理学类(含物理学、大气科学、核物理(核科学与技术)),理科本一批,1,5000,4
北京大学,90,计算机类(含计算机科学与技术、智能科学与技术、数据科学与大数据技术、软件工程),理科本一批,1,5300,4
北京大学,91,化学类(含化学、应用化学、材料化学、化学生物学),理科本一批,1,5000,4
北京大学,92,生物科学类(含生物科学、生物技术),理科本一批,1,5300,4
北京大学,93,地球物理学类(含地球物理学、地理信息科学(遥感与地理信息系统)、空间科学与技术),理科本一批,1,5000,4
北京大学,94,理科试验班类(包含专业详见学校招生章程或咨询学校),理科本一批,1,5300,4
北京大学,95,环境科学与工程类(含环境科学、环境工程、环境科学(环境管理)),理科本一批,1,5000,4
北京大学,96,心理学类(含心理学、应用心理学),理科本一批,1,5000,4
北京大学,97,城乡规划,理科本一批,1,5000,4
北京大学,98,公共管理类(含政治学与行政学、城市管理、行政管理),理科本一批,1,5000,4
北京大学,99,工商管理类(含金融学、经济学(金融)、会计学、市场营销),理科本一批,1,5000,4
北京大学,A0,经济学类(含经济学、金融学、国际经济与贸易、保险学、财政学、资源与环境经济学),理科本一批,1,5000,4
北京大学,A1,国际政治(国政、外交学、国际政经),理科本一批,1,5000,4
北京大学,A2,法学,理科本一批,1,5000,4
北京大学医学部,11,临床医学(色盲、色弱者不予录取),理科本一批,2,6000,5
北京大学医学部,12,口腔医学(色盲、色弱者不予录取),理科本一批,1,6000,5
北京大学医学部,13,预防医学(色盲、色弱者不予录取),理科本一批,3,6000,7
北京大学医学部,14,药学(色盲、色弱者不予录取),理科本一批,5,6000,6
北京大学医学部,15,基础医学(色盲、色弱者不予录取),理科本一批,7,6000,8
北京大学医学部,16,临床医学(色盲、色弱者不予录取),理科本一批,5,6000,8
北京大学医学部,17,口腔医学(色盲、色弱者不予录取),理科本一批,2,6000,8
清华大学,10,文科试验班类(经济、金融与管理)(含经济与金融(国际班)、会计学、信息管理与信息系统),文科本一批,1,5000,4
清华大学,39,工科试验班类(环境、化工与新材料)(含环境工程、环境工程(全球环境国际班)、高分子材料与工程、化学工程与工业生物工程、材料科学与工程),理科本一批,4,5000,4
清华大学,40,工科试验班类(自动化与工业工程)(含自动化、工业工程、信息管理与信息系统),理科本一批,3,5000,4
清华大学,41,工科试验班类(能源与电气)(含电气工程及其自动化、电气工程及其自动化(能源互联网国际班)、能源与动力工程、能源与动力工程(烽火班)、航空航天类、建筑环境与能源应用工程),理科本一批,4,5000,4
清华大学,42,工科试验班类(机械、航空与动力)(含机械工程、机械工程(实验班)、测控技术与仪器、能源与动力工程、能源与动力工程(烽火班)、车辆工程、车辆工程(车身方向)、工程力学(钱学森力学班)、航空航天类),理科本一批,8,5000,4
清华大学,43,理科试验班类(新雅书院)(含物理学等各专业),理科本一批,1,5000,4
清华大学,44,理科试验班类(化生)(含化学、化学生物学(化生基础科学班)、生物科学、药学、化学工程与工业生物工程、高分子材料与工程、生物医学工程),理科本一批,1,5000,4
清华大学,45,法学(含国际班),理科本一批,1,5000,4
清华大学,46,理科试验班类(经济、金融与管理)(含经济与金融(国际班)、会计学、信息管理与信息系统),理科本一批,1,5000,4
清华大学,47,理科试验班类(人文与社会)(含汉语言文学、历史学、哲学、英语、英语(世界文学与文化实验班)、日语、社会学、经济学、国际政治、国际政治(国际事务与全球治理)、心理学、新闻学(国际新闻实验班)、新闻学(融媒体新闻实验班)),理科本一批,1,5000,4
清华大学,48,理科试验班类(数理)(含数学与应用数学、物理学、数理基础科学、工程物理、工程物理(能源实验班)、材料科学与工程、航空航天类),理科本一批,4,5000,4
清华大学,49,电子信息类(含电子信息科学与技术、微电子科学与工程、生物医学工程),理科本一批,6,5000,4
清华大学,50,计算机类(含计算机科学与技术、计算机科学与技术(计算机科学实验班)、软件工程),理科本一批,3,5000,4
清华大学,51,土木类(含土木工程、工程管理、交通工程、水利科学与工程),理科本一批,5,5000,4
清华大学,52,临床医学类(医学实验班)(含临床医学),理科本一批,1,5000,8
清华大学,53,建筑类(含建筑学、城乡规划、风景园林),理科本一批,2,5000,5
清华大学,54,临床医学类(协和)(含临床医学),理科本一批,2,5000,8
浙江大学,07,人文科学试验班(含古典文献学、汉语言文学、哲学、历史学、文物与博物馆学；相关专业有悉尼大学、巴黎政治学院、曼彻斯特大学、早稻田大学等校交流项目),文科本一批,5,5300,4
浙江大学,08,人文科学试验班(外国语言文学)(含英语、翻译、德语、法语、西班牙语、日语、俄语；相关专业有曼彻斯特大学“3+1”本硕、英国巴斯大学“3+1”本硕等联合培养项目，早稻田大学、巴黎政治学院、柏林工业大学等校交流项目),文科本一批,1,5300,4
浙江大学,09,社会科学试验班(相关专业有威斯康星麦迪逊分校“3+1+1”本硕、伯明翰大学“2+2”双学位、夏威夷大学“3+2”本硕等联合培养项目，剑桥大学、芝加哥大学、伯克利加州大学、慕尼黑大学等校交流项目；包含专业详见学校招生章程或咨询学校),文科本一批,5,5300,4
浙江大学,22,工科试验班(机械与材料，含卓越人才培养班)(含机械工程、材料科学与工程；相关专业有新加坡国立大学“3+1+1”本硕、巴黎高科国立高等先进技术学院“3+3”本硕等联合培养项目，牛津大学、斯坦福大学、新加坡国立大学等校交流项目),理科本一批,2,6000,4
浙江大学,23,工科试验班(能源、化工与高分子，含卓越人才培养班)(相关专业有瑞典皇家理工学院“3+2”本硕、伊利诺伊大学厄巴纳香槟分校“3+2”本硕、加拿大西安大略大学“2+2”双学位等联合培养项目，剑桥大学、斯坦福大学、芝加哥大学、京都大学等校交流项目；包含专业详见学校招生章程或咨询学校),理科本一批,1,6000,4
浙江大学,24,社会科学试验班(相关专业有威斯康星麦迪逊分校“3+1+1”本硕、伯明翰大学“2+2”双学位、夏威夷大学“3+2”本硕等联合培养项目，剑桥大学、芝加哥大学、伯克利加州大学、慕尼黑大学等校交流项目；包含专业详见学校招生章程或咨询学校),理科本一批,1,5300,4
浙江大学,25,理科试验班类(含拔尖人才培养)(含数学与应用数学、信息与计算科学、统计学、物理学、心理学；相关专业有威斯康星麦迪逊分校“3+2”本硕、荷兰埃因霍芬理工大学“3+2”本硕、巴黎萨克雷大学等联合培养项目，美国莱斯大学、多伦多大学、北卡罗莱纳州立大学等校交流项目),理科本一批,1,5300,4
浙江大学,26,工科试验班(信息)(相关专业有杜克大学“3+2”本硕、西蒙菲沙大学“2+2”双学位、瑞典皇家理工学院“3+2”本硕等联合培养项目，哈佛大学、帝国理工学院、佐治亚理工学院、不列颠哥伦比亚大学、波士顿大学、新加坡国立大学、瑞典斯德哥尔摩大学等校交流项目；包含专业详见学校招生章程或咨询学校),理科本一批,8,6000,4
浙江大学,27,工科试验班(电气与自动化，含卓越人才培养班)(含电气工程及其自动化、电子信息工程；相关专业有荷兰埃因霍芬理工大学“3+2”本硕、巴黎高科国立高等电信学校“3+3”本硕、佛罗里达大学“3+2”本硕、伊利诺伊大学厄巴纳香槟分校“3+2”本硕等联合培养项目，哈佛大学交流项目),理科本一批,2,6900,4
浙江大学,28,工科试验班(建筑与土木，含卓越人才培养班)(含建筑学、城乡规划、土木工程、水利水电工程、交通工程；相关专业有伊利诺伊大学厄巴纳香槟分校“3+2”本硕联合培养项目，康奈尔大学、哈佛大学、西班牙圣帕布洛大学等校交流项目),理科本一批,1,6000,5
浙江大学,29,机器人工程(竺可桢学院)(相关专业有麻省理工学院交流项目),理科本一批,2,6900,4
浙江大学,30,工科试验班(竺可桢学院交叉创新平台)(含机械电子工程、金融学、数学与应用数学、信息管理与信息系统、统计学、会计学；相关专业有耶鲁大学、牛津大学、剑桥大学、新加坡国立大学交流项目),理科本一批,3,6000,4
浙江大学,31,医学试验班(含临床医学；相关专业有哈佛大学、洛杉矶加州大学、匹兹堡大学、布朗大学、慕尼黑大学、不列颠哥伦比亚大学等校交流项目),理科本一批,1,6900,8
浙江大学,32,科技与创意设计试验班(含工业设计；相关专业有英国巴斯大学“3+2”本硕联合培养项目，新加坡国立大学、瑞典斯德哥尔摩大学交流项目),理科本一批,1,6900,4
浙江大学,33,工科试验班(中外合作办学ZJUUIUC联合学院)(含机械工程、电子与计算机工程、电气工程及其自动化、土木工程；只招收有专业志愿的考生；同时获浙江大学毕业证书、学士学位证书和美国伊利诺伊大学厄巴纳香槟校区学士学位证书),理科本一批,1,120000,4
浙江大学医学院,03,医学试验班类(含临床医学；相关专业有西澳大学“3.5+1.5”双学位联合培养项目，洛杉矶加州大学、慕尼黑大学、墨尔本大学等校交流项目),理科本一批,3,6000,5
